code;name;description
E5.4;E 5.4;chemisch luchtwassysteem 90% emissiereductie 
E5.7;E 5.7;biologisch luchtwassysteem 70% emissiereductie 
E6.5.a;E 6.5.a;"mestopslagloods met biologisch luchtwassysteem 70% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3"
E6.5.b;E 6.5.b;"mestopslagloods met biologisch luchtwassysteem 70% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8"
E6.6.a;E 6.6.a;"mestopslagloods met chemisch luchtwassysteem 70% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3"
E6.6.b;E 6.6.b;"mestopslagloods met chemisch luchtwassysteem 70% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8"
E6.7.a;E 6.7.a;"mestopslagloods met chemisch luchtwassysteem 90% emissiereductie; geldt voor de huisvestingssystemen onder E 1.5, E 1.8, E 5.8, E 5.9.1.1.3 en E 5.9.1.2.3"
E6.7.b;E 6.7.b;"mestopslagloods met chemisch luchtwassysteem 90% emissiereductie; geldt voor huisvestingssystemen onder E 2.5, E 2.11, E 2.12, E 4.1 t/m E 4.3 en E 4.8"
E7.1;E 7.1;"oliefilmsysteem met drukleidingen; 54% emissiereductie fijn stof "
E7.2;E 7.2;"ionisatiesysteem met negatieve coronadraden; 49% emissiereductie fijn stof "
E7.3;E 7.3;"waterluchtwassysteem; 33% emissiereductie fijn stof "
E7.4;E 7.4;"droogfilterwand; 40% emissiereductie fijn stof "
E7.5;E 7.5;"ionisatiefilter; 57% emissiereductie fijn stof "
E7.6;E 7.6;"warmtewisselaar; 31% emissiereductie fijn stof "
E7.7;E 7.7;"warmtewisselaar; 13% emissiereductie fijn stof "
E7.8;E 7.8;"aanbrengen oliefilm in stallen met volières door middel van leidingen met sproeikoppen; 15% emissiereductie fijn stof "
E7.9;E 7.9;"aanbrengen oliefilm in stallen met gedeeltelijk rooster door middel van een olierobot; 30% emissiereductie fijn stof "
F1.1;F 1.1;chemisch luchtwassysteem 90% emissiereductie 
F1.2;F 1.2;biologisch luchtwassysteem 70% emissiereductie 
F1.4;F 1.4;biofilter 70% emissiereductie 
F1.5;F 1.5;chemisch luchtwassysteem 70% emissiereductie 
F2.1;F 2.1;chemisch luchtwassysteem 90% emissiereductie 
F2.2;F 2.2;biologisch luchtwassysteem 70% emissiereductie 
F2.4;F 2.4;biofilter 70% emissiereductie 
F2.5;F 2.5;chemisch luchtwassysteem 70% emissiereductie 
F3.1;F 3.1;chemisch luchtwassysteem 90% emissiereductie 
F3.2;F 3.2;biologisch luchtwassysteem 70% emissiereductie 
F3.3;F 3.3;biofilter 70% emissiereductie 
F3.4;F 3.4;chemisch luchtwassysteem 70% emissiereductie 
F4.2;F 4.2;chemisch luchtwassysteem 90% emissiereductie 
F4.4;F 4.4;biologisch luchtwassysteem 70% emissiereductie 
F4.6;F 4.6;biofilter 70% emissiereductie 
F4.7;F 4.7;chemisch luchtwassysteem 70% emissiereductie 
F6.1;F 6.1;"oliefilmsysteem met drukleidingen; 54% emissiereductie fijn stof "
F6.2;F 6.2;"waterluchtwassysteem; 33% emissiereductie fijn stof "
F6.3;F 6.3;"droogfilterwand; 40% emissiereductie fijn stof "
F6.4;F 6.4;"ionisatiefilter; 57% emissiereductie fijn stof "
F6.5;F 6.5;"warmtewisselaar; 31% emissiereductie fijn stof "
F6.6;F 6.6;"warmtewisselaar; 13% emissiereductie fijn stof "
G1.2;G 1.2;biologisch luchtwassysteem 70% emissiereductie 
G1.3;G 1.3;chemisch luchtwassysteem 70% emissiereductie 
G1.4;G 1.4;biofilter 70% emissiereductie 
G2.1.1;G 2.1.1;"binnen mesten; chemisch luchtwassysteem 90% emissiereductie "
G2.1.2;G 2.1.2;"binnen mesten; biologisch luchtwassysteem 70% emissiereductie "
G2.1.3;G 2.1.3;"binnen mesten; chemisch luchtwassysteem 70% emissiereductie "
