code	name	description
LPAB1990MED	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1990)	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1990)
LPAB1990ZWA	Personenauto - benzine - zwaar - pre Euro wetgeving (1990)	Personenauto - benzine - zwaar - pre Euro wetgeving (1990)
LPAB1991LCH	Personenauto - benzine - licht - pre Euro wetgeving (1991)	Personenauto - benzine - licht - pre Euro wetgeving (1991)
LPAB1991MED	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1997)	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1997)
LPAB1991ZWA	Personenauto - benzine - zwaar - pre Euro wetgeving (1997)	Personenauto - benzine - zwaar - pre Euro wetgeving (1997)
LPAB1992LCH	Personenauto - benzine - licht - pre Euro wetgeving (1992)	Personenauto - benzine - licht - pre Euro wetgeving (1992)
LPAB1992MED	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1992)	Personenauto - benzine - middelzwaar - pre Euro wetgeving (1992)
LPAB1992ZWA	Personenauto - benzine - zwaar - pre Euro wetgeving (1992)	Personenauto - benzine - zwaar - pre Euro wetgeving (1992)
LPABEUR1	Personenauto - benzine - Euro-1	Personenauto - benzine - Euro-1
LPABEUR2	Personenauto - benzine - Euro-2	Personenauto - benzine - Euro-2
LPABEUR3	Personenauto - benzine - Euro-3	Personenauto - benzine - Euro-3
LPABEUR4	Personenauto - benzine - Euro-4	Personenauto - benzine - Euro-4
LPABEUR5	Personenauto - benzine - Euro-5	Personenauto - benzine - Euro-5
LPABEUR6	Personenauto - benzine - Euro-6	Personenauto - benzine - Euro-6
LPABO3WCLCH	Personenauto - benzine - licht - pre Euro wetgeving (< 1992)	Personenauto - benzine - licht - pre Euro wetgeving (< 1992)
LPABO3WCMED	Personenauto - benzine - middelzwaar - pre Euro wetgeving (< 1992)	Personenauto - benzine - middelzwaar - pre Euro wetgeving (< 1992)
LPABO3WCZWA	Personenauto - benzine - zwaar - pre Euro wetgeving (< 1992)	Personenauto - benzine - zwaar - pre Euro wetgeving (< 1992)
LPABPR82LCH	Personenauto - benzine - licht - pre Euro wetgeving (< 1982)	Personenauto - benzine - licht - pre Euro wetgeving (< 1982)
LPABPR82MED	Personenauto - benzine - middelzwaar - pre Euro wetgeving (< 1982)	Personenauto - benzine - middelzwaar - pre Euro wetgeving (< 1982)
LPABPR82ZWA	Personenauto - benzine - zwaar - pre Euro wetgeving (< 1982)	Personenauto - benzine - zwaar - pre Euro wetgeving (< 1982)
LPABR3WC	Personenauto - benzine - pre Euro wetgeving (< 1992)	Personenauto - benzine - pre Euro wetgeving (< 1992)
LPACEUR0	Personenauto - CNG - pre Euro wetgeving (< 1992)	Personenauto - CNG - pre Euro wetgeving (< 1992)
LPACEUR1	Personenauto - CNG - Euro-1	Personenauto - CNG - Euro-1
LPACEUR2	Personenauto - CNG - Euro-2	Personenauto - CNG - Euro-2
LPACEUR3	Personenauto - CNG - Euro-3	Personenauto - CNG - Euro-3
LPACEUR4	Personenauto - CNG - Euro-4	Personenauto - CNG - Euro-4
LPACEUR5	Personenauto - CNG - Euro-5	Personenauto - CNG - Euro-5
LPACEUR6	Personenauto - CNG - Euro-6	Personenauto - CNG - Euro-6
LPAD1982LCH	Personenauto - diesel - licht - pre Euro wetgeving (1982)	Personenauto - diesel - licht - pre Euro wetgeving (1982)
LPAD1982MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1982)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1982)
LPAD1982ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1982)	Personenauto - diesel - zwaar - pre Euro wetgeving (1982)
LPAD1983LCH	Personenauto - diesel - licht - pre Euro wetgeving (1983)	Personenauto - diesel - licht - pre Euro wetgeving (1983)
LPAD1983MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1983)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1983)
LPAD1983ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1983)	Personenauto - diesel - zwaar - pre Euro wetgeving (1983)
LPAD1984LCH	Personenauto - diesel - licht - pre Euro wetgeving (1984)	Personenauto - diesel - licht - pre Euro wetgeving (1984)
LPAD1984MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1984)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1984)
LPAD1984ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1984)	Personenauto - diesel - zwaar - pre Euro wetgeving (1984)
LPAD1985LCH	Personenauto - diesel - licht - pre Euro wetgeving (1985)	Personenauto - diesel - licht - pre Euro wetgeving (1985)
LPAD1985MED	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1985)	Personenauto - diesel - middelzwaar - pre Euro wetgeving (1985)
LPAD1985ZWA	Personenauto - diesel - zwaar - pre Euro wetgeving (1985)	Personenauto - diesel - zwaar - pre Euro wetgeving (1985)
LPAD1986LCH	Personenauto - diesel - licht - pre Euro wetgeving (1986)	Personenauto - diesel - licht - pre Euro wetgeving (1986)
