code	name	description
BWL2013.01	BWL 2013.01	BWL 2013.01
BWL2013.02	BWL 2013.02	BWL 2013.02
BWL2013.03	BWL 2013.03	BWL 2013.03
BWL2013.04	BWL 2013.04	BWL 2013.04
BWL2013.05	BWL 2013.05	BWL 2013.05
BWL2013.06	BWL 2013.06	BWL 2013.06
BWL2013.07	BWL 2013.07	BWL 2013.07
BWL2013.08	BWL 2013.08	BWL 2013.08
BWL2014.01	BWL 2014.01	BWL 2014.01
BWL2014.02	BWL 2014.02	BWL 2014.02
BWL2015.01	BWL 2015.01	BWL 2015.01
BWL2015.02	BWL 2015.02	BWL 2015.02
BWL2015.03	BWL 2015.03	BWL 2015.03
BWL2015.04	BWL 2015.04	BWL 2015.04
BWL2015.05	BWL 2015.05	BWL 2015.05
BWL2015.06	BWL 2015.06	BWL 2015.06
BWL2016.01	BWL 2016.01	BWL 2016.01
BWL2016.02	BWL 2016.02	BWL 2016.02
BWL2016.03	BWL 2016.03	BWL 2016.03
BWL2017.01	BWL 2017.01	BWL 2017.01
BWL2017.02	BWL 2017.02	BWL 2017.02
BWL2017.03	BWL 2017.03	BWL 2017.03
BWL2017.04	BWL 2017.04	BWL 2017.04
BWL2017.05	BWL 2017.05	BWL 2017.05
BWL2017.06	BWL 2017.06	BWL 2017.06
BWL2017.08	BWL 2017.08	BWL 2017.08
BWL2017.09	BWL 2017.09	BWL 2017.09
BWL2017.10	BWL 2017.10	BWL 2017.10
BWL2017.11	BWL 2017.11	BWL 2017.11
BWL2018.01	BWL 2018.01	BWL 2018.01
BWL2018.02	BWL 2018.02	BWL 2018.02
BWL2018.03	BWL 2018.03	BWL 2018.03
BWL2018.04	BWL 2018.04	BWL 2018.04
BWL2018.05	BWL 2018.05	BWL 2018.05
BWL2018.06	BWL 2018.06	BWL 2018.06
BWL2018.07	BWL 2018.07	BWL 2018.07
BWL2019.01	BWL 2019.01	BWL 2019.01
BWL2019.02	BWL 2019.02	BWL 2019.02
BWL2019.03	BWL 2019.03	BWL 2019.03
BWL2019.04	BWL 2019.04	BWL 2019.04
BWL2019.05	BWL 2019.05	BWL 2019.05
BWL2020.01	BWL 2020.01	BWL 2020.01
BWL2020.02	BWL 2020.02	BWL 2020.02
BWL2020.03	BWL 2020.03	BWL 2020.03
BWL2020.04	BWL 2020.04	BWL 2020.04
BWL2020.05	BWL 2020.05	BWL 2020.05
BWL2020.06	BWL 2020.06	BWL 2020.06
Overig	Overig	Overig
